name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Vector X OMS-150 Men's Athletic/Running Sports Shorts;sports & fitness;;;₹415;₹649;;;;;;;;
Xeric Regular Fit Track Pant for Men.(ML-POTP);sports & fitness;;;;₹749;;;;;;;;
LIFE Printed Cotton Round Neck Girls Sweatshirt;sports & fitness;4.8;5;₹399;₹999;;;;;;;;
Integriti Men's Regular Track Pants (INT-LP-CP703 R/L GRYMBK_S_Grey Melange/Black_S);sports & fitness;5.0;1;₹429;₹1,899;;;;;;;;
Better Buying Women Polyester Cotton Maroon Striped black White Side full Sleeve Top & Pant Leggings Tracksuit Set for Wom...;sports & fitness;3.0;2;₹598;₹1,899;;;;;;;;
Puma Men Track Pants;sports & fitness;4.4;37;₹2,278.59;₹4,499;;;;;;;;
RDS Wear Women Black Track Pant with Sides Colour Red (Small; Black Red);https://www.amazon.in/RDS-Women-Black-Track-Colour/dp/B085HW5M39/ref=sr_1_9302?qid=1679217341&s=sports&sr=1-9302;4.0;2;₹199;₹899;;;;;;;
Van Heusen Men Knit Shorts - Polyester Spandex - Swift Dry; 4-Way Stretch;Football;https://m.media-amazon.com/images/I/610YRBUqeeL._AC_UL320_.jpg;https://www.amazon.in/Van-Heusen-Athleisure-Shorts-51001_Black_Xx-Large/dp/B07R6MM4GX/ref=sr_1_9303?qid=1679217341&s=sports&sr=1-9303;3.7;94;;₹1,499;;;;;
Wear Your Opinion Men's Full Sleeve Printed Fleece Round Neck Sweatshirt (Shiva Tilak);sports & fitness;3.9;191;₹399;₹1,999;;;;;;;;
Purys Women Sweatshirt;sports & fitness;3.7;7;₹760;₹1,999;;;;;;;;
Pro Sports Men's Regular Fit Jersey;sports & fitness;4.6;16;₹699;₹999;;;;;;;;
SHAUN Girls Polyester Blue Tracksuit 89TSGBlue34a 9-10 Years;sports & fitness;4.6;12;₹999;₹1,999;;;;;;;;
WIKIGO Hand Stitched WCup 2K22 Football Full Size-5 with pin (Orange Yellow);sports & fitness;;;₹499;₹999;;;;;;;;
Women's Cotton Regular Fit Joggers Track Pants (B-WO-GR-BLK);sports & fitness;;;₹279;₹999;;;;;;;;
IRIS Football Rebounder; Football Training Net;sports & fitness;Football;https://m.media-amazon.com/images/I/71dhyUbhHPL._AC_UL320_.jpg;https://www.amazon.in/IRIS-Football-Rebounder-Adjustable-Playground/dp/B0BLGRS4B3/ref=sr_1_9310?qid=1679217341&s=sports&sr=1-9310;1.0;1;₹2,999;₹6,000;;;;
DG Divine Girl Combo Sweatshirt and Long Sleeve Sweatshirt for Girls (Pack of 2);sports & fitness;4.0;24;₹499;₹999;;;;;;;;
AKADO Women’s Half Net and Half Cotton Socks Transparent Ultra Thin Mesh Ladies Winter Socks Multicolor Free Size Pack of 5;sports & fitness;;;₹346;₹899;;;;;;;;
Marks & Spencer Women Socks;sports & fitness;5.0;6;₹689;₹999;;;;;;;;
MANQ Men's Slim Fit Trackpants;sports & fitness;3.9;64;₹499;₹1,199;;;;;;;;
Vicky Glory Football Hand Sewn Synthetic Coated PU Leather Built Ideal for Competition Matches; Outdoor Training -White & ...;https://www.amazon.in/Vicky-Transform-Football-Size-5-Golden-White/dp/B088BKT9LL/ref=sr_1_9387?qid=1679217343&s=sports&sr=1-9387;;;₹850;₹1,120;;;;;;;
Goodtry G Men's Cotton Sweatshirt Pack of 2;sports & fitness;3.8;9;₹774;₹1,999;;;;;;;;
Campus Sutra Men Sweatshirt;sports & fitness;4.2;4;₹719;₹1,699;;;;;;;;
"SHIV-NARESH Extreme 7"" Sports Shorts for Gym Runing Outdoor Sports Training Regular Wear for Mens and Boys (Ink Blue)";sports & fitness;;;₹409;₹1,999;;;;;;;;
CUPID Women Plain Comfortable Plus Size Barmunda/Shorts for Sports; Yoga;sports & fitness;Football;https://m.media-amazon.com/images/I/61YYuyfl7KL._AC_UL320_.jpg;https://www.amazon.in/CUPID-Comfortable-Bermunda-Ladies_Navy-Grey_Pack/dp/B0BSV3G5WM/ref=sr_1_9391?qid=1679217343&s=sports&sr=1-9391;4.7;6;₹832.02;₹1,299;;;;
lovely LONDON Men's And Women's Solid Cotton Ankle Socks | Stylish & Casual Wear (Multi-Coloured) Pack Of 12 Pair Free Siz...;sports & fitness;;;₹349;₹599;;;;;;;;
VIRAY OSWAL Winter WEAR Thermal TOP | Inner WEAR | OSWAL Quilted Thermal TOP;sports & fitness;;;₹299;₹649;;;;;;;;
SAAVA Men's Full Sleeve Fleece Round Neck Sweatshirt;sports & fitness;;;₹799;₹1,699;;;;;;;;
ISBN Sport Hand Stiched Rubber VOLLYBALL (Free AIR Pump with 2 Needle for Cycle; Football;sports & fitness;Football;https://m.media-amazon.com/images/I/41I-Xj73DhL._AC_UL320_.jpg;https://www.amazon.in/ISBN-VOLLYBALL-Football-Volleyball-Basketball/dp/B0BM4K3H8Q/ref=sr_1_9395?qid=1679217343&s=sports&sr=1-9395;;;₹499;₹1,899;;;;
Amazon Brand - Nora Nico Regular Fit Track Pant;sports & fitness;;;₹399.20;₹999;;;;;;;;
NEVA Mod Quilt Off White Polyfill Cotton Round Neck Sleeveless Thermal;sports & fitness;;;₹445;₹494;;;;;;;;
The Souled Store Men Official Iron Man : The Invincible Multicolored Printed Joggers;sports & fitness;;;₹996;₹1,499;;;;;;;;
JUGULAR Mens Regular Fit Track Pants;sports & fitness;3.4;16;₹399;₹888;;;;;;;;
Van Heusen Men Hooded Sweatshirt;sports & fitness;3.5;7;₹1,706.04;₹1,999;;;;;;;;
Various Dots Women's Cotton Round Neck Sweatshirts;sports & fitness;3.7;132;₹629;₹1,099;;;;;;;;
Jockey Boys Track Pants;sports & fitness;;;;₹829;;;;;;;;
Gupta Garment's Sport's Solid SL TT Tracksuit Men;sports & fitness;;;₹1,999;₹5,000;;;;;;;;
Levi's Men's Cotton Crew Neck Sweatshirt;sports & fitness;;;₹1,064.46;₹2,699;;;;;;;;
Prolethal Men’s Sturdy Knit 2.0 Track Pant;sports & fitness;;;₹599;₹608;;;;;;;;
RUF & TUF Men Pullover Sweater;sports & fitness;4.0;8;;;;;;;;;;
Yonex Badminton Socks00021SSRED;sports & fitness;4.0;1;₹313;₹349;;;;;;;;
Van Heusen Sport Men Sweatshirt;sports & fitness;3.7;117;₹989;₹1,899;;;;;;;;
Puma Women's Slim Track Pants;sports & fitness;3.0;1;₹1,619;₹3,999;;;;;;;;
FITINC Sports Jogger for Workout & Casual Wear for Men with Two Zip Pockets;sports & fitness;3.9;123;₹617;₹1,499;;;;;;;;
Vector X VSK-003 Polyester Material Shorts for Kids (Navy; 32);https://www.amazon.in/Vector-VSK-003-N-32-Polyester-Kids-Shorts32/dp/B07N67SRLK/ref=sr_1_9411?qid=1679217345&s=sports&sr=1-9411;;;₹106.14;₹599;;;;;;;
VIMAL JONNEY Cotton Blended Men's Trackpants(Pack of 2)-Combo_D1ND9B-P;sports & fitness;4.1;12;₹799;₹2,229;;;;;;;;
ALCiS Men's Synthetic Track Pants;sports & fitness;4.0;16;₹699;₹1,399;;;;;;;;
VIMAL JONNEY Boy's Slim Fit Track pants(Pack of 3)(K1AK1BK1M_03-32_Multicolored_14-15 Years);sports & fitness;3.9;70;₹757;₹2,700;;;;;;;;
Nivia Running Oxy-3 Fitness Tee (Black/F Green; XL);https://www.amazon.in/Nivia-Running-Oxy-3-Fitness-Tee/dp/B01N0YET81/ref=sr_1_9415?qid=1679217345&s=sports&sr=1-9415;3.8;51;₹545;₹570;;;;;;;
Yonex 2338 Easy22 Men's Junior Badminton Shorts; Jet Black/Steel Gray;https://www.amazon.in/Yonex-Easy22-Junior-Badminton-Shorts/dp/B0BW5HMS4Z/ref=sr_1_9416?qid=1679217345&s=sports&sr=1-9416;;;₹979;₹1,150;;;;;;;
TECHNOSPORT Polyester Mens Melange Trackpant with Cuff (MPP528);sports & fitness;Get;FREE Delivery by Amazon;;₹660;;;;;;;;
KEDY Cotton Yoga Socks Sport Fitness Half Toe Ankle Grip Gym No-Slip Socks for Pilates; Barre;Football;https://m.media-amazon.com/images/I/41BglUGTtqS._AC_UL320_.jpg;https://www.amazon.in/KEDY-Fitness-No-Slip-Pilates-Barefoot/dp/B0BCKQDWYZ/ref=sr_1_9418?qid=1679217345&s=sports&sr=1-9418;;;₹399;₹883;;;;;
LooFoN Mens Trackpants;sports & fitness;;;₹399;₹1,999;;;;;;;;
MG Brand Bts Bangatan Boys kpop Fan Art unisex Cotton hoodie & trackpant tracksuit combo pack of 1 for kids women girl;sports & fitness;;;₹1,499;₹2,599;;;;;;;;
Uni-Exclusive Women Purple Round Neck Solid Full Sleeve Cotton Sweatshirt(UWtayweirdwhite);sports & fitness;4.1;5;₹579;₹1,599;;;;;;;;
LARSSST Men Grey Round Neck Printed Full Sleeve Sweatshirt-LrMSWTGREY03;sports & fitness;3.4;5;₹529;₹1,599;;;;;;;;
Roods D-Pocket Men Track Pants | Fully Stretchable Men & Boy Lower;Pajama | Gym Lower | Running| Jogging | Yoga | Casual wear;https://www.amazon.in/Roods-D-Pocket-Stretchable-Running-Jogging/dp/B0B1YXQNMX/ref=sr_1_9423?qid=1679217345&s=sports&sr=1-9423;3.6;9;₹399;₹499;;;;;;;
KAFF Mens Track Pant- Pack of 2pcs- Black;Grey-Heavyweight Fabric with 2 Side Pockets;https://www.amazon.in/KAFF-Track-Grey-Heavyweight-Fabric-Pockets/dp/B09TZT8L93/ref=sr_1_9424?qid=1679217345&s=sports&sr=1-9424;2.9;3;₹390;₹899;;;;;;;
Sweet Dreams Women Solid Cotton Rich Sleepwear/Loungewear Pyjamas;sports & fitness;4.6;11;;₹824;;;;;;;;
BODYSPORTS.CO Man City Away Football Jersey;sports & fitness;3.7;10;₹414;₹799;;;;;;;;
Bewakoof Olive Camo White Stripe Casual Jogger;sports & fitness;5.0;1;₹500;₹1,499;;;;;;;;
CHEROKEE KIDS Girl's Track Pants;sports & fitness;4.3;32;₹708;₹709;;;;;;;;
UCARE Insider Kids Thermal/Winter Wear/Warmer for Girls and Boys; 2 Upper and 2 Lower;https://www.amazon.in/UCARE-Insider-Thermal-Winter-Warmer/dp/B08MVDR54K/ref=sr_1_9429?qid=1679217345&s=sports&sr=1-9429;4.0;8;₹1,198;₹1,249;;;;;;;
TS LAVI TAVI Front Open Kids Thermal Top & Pyjama Set for Baby Boys & Baby Girls;sports & fitness;3.9;17;₹469;₹650;;;;;;;;
HENCO Black Sports Dress/kit (T-Shirt & Short Combo) for Kabbadi;Multi Sports;Tennis;Cycling; ...;sports & fitness;Football;https://m.media-amazon.com/images/I/71qsFx5JG7L._AC_UL320_.jpg;https://www.amazon.in/HENCO-T-Shirt-Volleyball-Football-Badminton/dp/B083G5RQ25/ref=sr_1_9431?qid=1679217345&s=sports&sr=1-9431;3.5;2;₹549;₹849;
Shiv Naresh Men's Regular Fit Trackpants (BLSP10_38_Blue_38);sports & fitness;3.9;144;₹730;₹1,999;;;;;;;;
